expocode,time (UTC),Temperature_equi (degrees C),temp (degrees C)
33HH20240425,2024-04-25T23:00:39Z,12.41,7.2513
49OX20230629,2023-07-07T23:10:00Z,11.14,5.42
MLCE20250118,2025-01-26T14:39:09Z,21.25,4.06951
WFCH20220603,2022-06-11T16:38:46Z,5.22,-0.00100826
WFCH20230312,2023-03-18T15:13:50Z,5.45,-0.979943
WFCH20230312,2023-03-18T15:32:03Z,6.36,-0.510169
WFCH20230312,2023-03-18T16:13:15Z,6.61,-0.17804
WFCH20230312,2023-03-18T16:20:55Z,6.13,-0.372694
WFCH20230312,2023-03-18T16:28:34Z,5.73,-0.504099
WFCH20230312,2023-03-18T17:48:46Z,4.6,-0.71716
WFCH20230312,2023-03-18T17:56:26Z,5.03,-0.381409
WFCH20230312,2023-03-18T18:17:12Z,8.56,-0.449717
WFCH20230312,2023-03-18T18:24:52Z,5.66,-0.562649
WFCH20230608,2023-06-19T08:52:03Z,7.99,2.86794
WFCH20231129,2023-12-05T04:16:50Z,5.03,-1.38536
WFCH20231129,2023-12-05T04:19:21Z,5.4,-1.38552
WFCH20231129,2023-12-07T20:58:39Z,8.47,1.43993
WFCH20240108,2024-01-15T06:49:56Z,4.82,-0.617812
WFCH20240108,2024-01-15T07:00:08Z,5.99,0.722635
WFCH20240108,2024-01-15T07:02:42Z,6.32,-0.568628
WFCH20240108,2024-01-27T12:55:38Z,4.82,-0.413067
WFCH20240108,2024-01-27T12:58:11Z,7.78,-0.371878
WFCH20240108,2024-01-27T13:00:44Z,6.83,-0.302784
WFCH20240108,2024-01-27T13:03:38Z,6.68,0.0988706
WFCH20240108,2024-01-27T13:06:11Z,6.71,0.519333
WFCH20240108,2024-01-27T13:08:45Z,6.82,0.753509
WFCH20240108,2024-01-27T13:11:18Z,6.95,1.1861
WFCH20240108,2024-01-27T13:13:51Z,7.09,1.54889
WFCH20240108,2024-01-27T13:16:24Z,7.26,1.78093
WFCH20240108,2024-01-27T13:18:57Z,7.43,2.18223
WFCH20240108,2024-01-27T13:21:30Z,7.62,2.5186
WFCH20240108,2024-01-27T13:26:37Z,8.96,2.86769
WFCH20240108,2024-01-27T13:29:10Z,12.23,1.22059
WFCH20240108,2024-01-27T13:31:43Z,14.74,0.763963
WFCH20240108,2024-01-27T13:34:36Z,11.05,0.0191611
